Max. Equipment Designation,Best glide ratio,Cruising altitude,Fuel with max payload,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage",Max certified altitude,Max fuel weight,Max launch weight,Propeller diameter,T-O run,T-O speed,Tailplane span,Weapons bay volume,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,g limits,Absolute ceiling [m],Service ceiling [m],Operating altitude [m],Cruising speed [m/s],Loitering speed [m/s],Max level speed [m/s],Max operating speed [m/s],Never-exceed speed [m/s],Stalling speed [m/s],Rate of climb [m/s],Endurance [h],Gross wing area [m2],Max T-O weight [kg],Max payload [kg],"Operating weight, empty [kg]",Payload with max fuel [kg],Weight empty [kg],"Length, overall [m]",Wing span [m],Radius of operation [km],Range [km]
SPECTATOR,,,,,,,,,,,,,,,,,,,,,,,,,2000,,11.11,,33.34,,,,,3.0,,7.0,1.5,,,,1.345,3.02,20.3,30.0
SPECTATOR-M1,,,,,,,,,,,,,,,,,,,,,,,,,2000,,11.11,,33.34,,,,,2.0,,7.0,1.5,,,,1.295,3.02,20.3,30.0
SQA,,,,,,,,,,,,,,,,,,,,,,,,,4000,,17.95,,23.97,,,,,3.0,,9.8,,,,,0.93,2.9,,40.0
STREAM C,,,,,,,,,,,,,,,,,,,,,,,,,3000,,22.22,,41.67,,,,,8.0,,20.0,,,6.0,10.0,2.3,3.9,,100.0
ScanEagle,,,,,,,,,,,,,,,,,,,,,,,,,5945,,30.87,,41.16,41.16,,,,18.0,,26.5,5.0,,,13.1,1.71,3.11,,100.0
ScanEagle 2,,,,,,,,,,,,,,,,,,,,,,,,,5950,,25.72,,41.16,,,,,16.0,,26.5,5.0,,,19.0,1.71,3.11,,
Shahzore,,,,,,,,,,,,,28.0 kg (62 lb),,,,,,,,,,,,,,,,76.14,,,,,1.5,,28.0,,,,,2.54,2.54,2.96,
Silent Falcon,,,,,,,,,,,,,,,,,,,,,,,,,,6095,8.9,10.29,31.12,,,,,3.0,,11.0,,,,,1.9,2.7,,15.0
Skiron-X,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,,,25.72,,,,0.42,,22.2,1.45,,,,2.2,5.0,,13.0
Skiron-XLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,24.5,1.45,,,,2.2,5.0,,75.0
Skylark C,,,,,,,,,,,,,,,,,,,,,3.8 m (12 ft 5 1/2 in) 3.8 m (12 ft 5 1/2 in),,,,4570,,,,,,,,,5.0,,15.0,,,,,,,,40.0
Skylark I-LEX,,,,,,,,,,,,,,,,,,,,,,,,,4570,,,,,,,,,3.0,,7.5,1.2,,,,,3.0,,40.0
Skyzer 450,,,,,,,,,,,,,,,50 m (164 ft),,,,,,,,,,,,22.12,,36.01,,,12.86,,7.0,,21.0,5.0,,,9.0,2.27,3.3,,
